[run,subrun,event,newhaspi0]
[17352,46,2338,1.0]
[17352,136,6803,1.0]
[17352,136,6804,1.0]
[17352,138,6921,1.0]
[17352,138,6950,1.0]
[17352,231,11597,1.0]
[17352,231,11599,1.0]
[17352,237,11861,1.0]
[17352,237,11874,1.0]
[17352,66,3326,1.0]
[17352,66,3342,1.0]
[17352,70,3545,1.0]
[17352,131,6575,1.0]
[17352,131,6582,1.0]
[17352,131,6594,1.0]
[17352,131,6595,1.0]
[17352,133,6670,1.0]
[17352,133,6687,1.0]
[17352,208,10423,1.0]
[17352,37,1862,1.0]
[17352,92,4649,1.0]
[17352,244,12222,1.0]
[17353,18,917,1.0]
[17353,18,938,1.0]
[17353,25,1286,1.0]
[17353,25,1288,1.0]
[17353,25,1297,1.0]
[17353,51,2587,1.0]
[17353,51,2599,1.0]
[17353,3,161,1.0]
[17353,3,164,1.0]
[17353,3,172,1.0]
[17353,22,1126,1.0]
[17353,22,1135,1.0]
[17353,34,1707,1.0]
[17353,34,1742,1.0]
[17353,36,1804,1.0]
[17353,36,1836,1.0]
[17353,36,1843,1.0]
[17353,11,553,1.0]
[17353,11,558,1.0]
[17353,11,580,1.0]
[17353,11,596,1.0]
[17353,28,1449,1.0]
[17353,43,2170,1.0]
[17353,43,2176,1.0]
[17353,46,2321,1.0]
[17353,46,2347,1.0]
[17353,49,2496,1.0]
[17353,49,2497,1.0]
[17353,32,1609,1.0]
[17353,32,1636,1.0]
[17353,32,1644,1.0]
[17353,47,2352,1.0]
[17353,48,2421,1.0]
[17353,48,2437,1.0]
[17353,48,2445,1.0]
[17354,5,280,1.0]
[17354,38,1909,1.0]
[17354,38,1910,1.0]
[17354,38,1916,1.0]
[17354,52,2625,1.0]
[17354,52,2642,1.0]
[17354,60,3047,1.0]
[17354,1,95,1.0]
[17354,35,1778,1.0]
[17354,49,2455,1.0]
[14151,4,207,1.0]
[14151,4,210,1.0]
[14151,8,422,1.0]
[14551,189,9471,1.0]
[14551,189,9474,1.0]
[14551,293,14652,1.0]
[17354,24,1240,1.0]
[17354,54,2724,1.0]
[17354,54,2739,1.0]
[17354,67,3364,1.0]
[17355,7,358,1.0]
[17355,26,1322,1.0]
[17355,26,1323,1.0]
[17355,46,2333,1.0]
[17355,58,2903,1.0]
[17355,58,2943,1.0]
[17355,63,3178,1.0]
[17355,63,3181,1.0]
[17355,5,259,1.0]
[17355,5,267,1.0]
[17355,5,282,1.0]
[17355,62,3104,1.0]
[17355,70,3529,1.0]
[17355,70,3537,1.0]
[17355,70,3542,1.0]
[17355,95,4763,1.0]
[17355,95,4764,1.0]
[17355,95,4777,1.0]
[17355,6,333,1.0]
[17355,48,2402,1.0]
[17355,48,2408,1.0]
[17355,93,4690,1.0]
[17355,122,6122,1.0]
[17355,11,566,1.0]
[17355,14,709,1.0]
[17355,18,928,1.0]
[17355,18,935,1.0]
[17355,65,3256,1.0]
[17355,83,4155,1.0]
[17355,83,4189,1.0]
[17355,24,1221,1.0]
[17355,24,1233,1.0]
[17355,33,1659,1.0]
[17355,33,1698,1.0]
[17355,41,2080,1.0]
[17355,42,2101,1.0]
[17355,42,2114,1.0]
[17355,42,2140,1.0]
[17355,77,3859,1.0]
[17355,77,3883,1.0]
[17356,18,927,1.0]
[17356,35,1754,1.0]
[17356,35,1776,1.0]
[17356,44,2222,1.0]
[17356,44,2237,1.0]
[17356,55,2767,1.0]
[17356,55,2796,1.0]
[17356,161,8060,1.0]
[17356,161,8078,1.0]
[17356,176,8805,1.0]
[17356,56,2825,1.0]
[17356,149,7454,1.0]
[17356,149,7456,1.0]
[17356,149,7480,1.0]
[17356,160,8002,1.0]
[17356,160,8037,1.0]
[17356,196,9805,1.0]
[17356,196,9808,1.0]
[17356,32,1635,1.0]
[17356,36,1818,1.0]
[17356,36,1838,1.0]
[17356,102,5138,1.0]
[17356,134,6742,1.0]
[17356,156,7844,1.0]
[14551,169,8469,1.0]
[14551,275,13757,1.0]
[14551,295,14764,1.0]
[14551,295,14779,1.0]
[17356,39,1952,1.0]
[17356,39,1993,1.0]
[17356,191,9569,1.0]
[17356,208,10416,1.0]
[17356,210,10518,1.0]
[17356,210,10525,1.0]
[17356,210,10528,1.0]
[17356,3,160,1.0]
[17356,20,1009,1.0]
[17356,20,1033,1.0]
[17356,20,1043,1.0]
[17356,75,3779,1.0]
[17356,75,3799,1.0]
[17356,147,7374,1.0]
[17356,163,8193,1.0]
[17356,192,9645,1.0]
[17356,87,4363,1.0]
[17356,87,4367,1.0]
[17356,87,4385,1.0]
[17356,179,8961,1.0]
[17356,179,8987,1.0]
[17356,180,9020,1.0]
[17356,189,9488,1.0]
[17356,54,2703,1.0]
[17356,54,2713,1.0]
[17356,97,4886,1.0]
[17356,194,9704,1.0]
[17356,194,9717,1.0]
[17356,194,9736,1.0]
[17356,194,9748,1.0]
[17356,213,10674,1.0]
[17356,213,10679,1.0]
[17356,213,10682,1.0]
[17356,77,3874,1.0]
[17356,77,3875,1.0]
[17356,81,4081,1.0]
[17356,103,5190,1.0]
[17356,103,5192,1.0]
[17356,157,7858,1.0]
[17356,80,4032,1.0]
[17356,184,9209,1.0]
[17356,184,9211,1.0]
[17356,41,2052,1.0]
[17356,70,3545,1.0]
[17356,92,4636,1.0]
[17356,133,6663,1.0]
[17356,133,6687,1.0]
[17356,133,6694,1.0]
[17356,105,5254,1.0]
[17356,105,5277,1.0]
[17356,105,5299,1.0]
[17356,124,6207,1.0]
[17356,124,6220,1.0]
[17356,19,976,1.0]
[17356,53,2654,1.0]
[17356,53,2693,1.0]
[17356,114,5749,1.0]
[14551,105,5271,1.0]
[14551,175,8786,1.0]
[14551,221,11082,1.0]
[14551,264,13228,1.0]
[14551,264,13232,1.0]
[17356,24,1235,1.0]
[17356,150,7501,1.0]
[17356,178,8928,1.0]
[17356,178,8933,1.0]
[17356,200,10005,1.0]
[17356,200,10018,1.0]
[17356,207,10358,1.0]
[17356,207,10374,1.0]
[17356,207,10376,1.0]
[17356,207,10385,1.0]
[17358,0,20,1.0]
[17358,10,528,1.0]
[17358,24,1215,1.0]
[17358,55,2765,1.0]
[17358,55,2768,1.0]
[17358,55,2775,1.0]
[17358,55,2778,1.0]
[17358,1,92,1.0]
[17358,1,93,1.0]
[17358,7,352,1.0]
[17358,7,367,1.0]
[17358,15,764,1.0]
[17358,15,800,1.0]
[17358,19,955,1.0]
[17358,19,961,1.0]
[17358,19,976,1.0]
[17358,5,282,1.0]
[17358,5,293,1.0]
[17358,17,894,1.0]
[17358,40,2013,1.0]
[17358,58,2913,1.0]
[17358,58,2950,1.0]
[17358,41,2058,1.0]
[17358,56,2807,1.0]
[17358,56,2818,1.0]
[17358,56,2823,1.0]
[17358,56,2836,1.0]
[17358,56,2843,1.0]
[17358,2,107,1.0]
[17358,2,130,1.0]
[17358,35,1756,1.0]
[17358,35,1782,1.0]
[17358,51,2553,1.0]
[17358,51,2598,1.0]
[17358,61,3067,1.0]
[17358,61,3086,1.0]
[17358,4,211,1.0]
[17358,4,227,1.0]
[17358,9,498,1.0]
[17358,38,1942,1.0]
[17360,18,905,1.0]
[17360,18,907,1.0]
[17360,42,2124,1.0]
[17360,73,3670,1.0]
